original_area_code,total_population,black_pop,dial_pulls,percent_black
201,4835329,323071,13,0.06681468830766221
202,802178,283971,14,0.3539999850407266
203,2007280,55050,15,0.027425172372563866
205,3061743,982186,17,0.3207930907329583
206,2378963,62730,18,0.0263686320468204
207,913774,2909,19,0.003183500515444738
208,588637,7220,20,0.012265623805503221
212,8517773,816133,5,0.0958153028966609
213,5931975,345267,6,0.05820439229767489
214,2706432,423994,7,0.15666161204124102
215,4039993,447021,8,0.11064895409472245
216,3334758,243912,9,0.07314233896432665
217,1766247,32980,10,0.018672360094596056
218,965168,11739,11,0.012162649404041576
301,2343001,387924,14,0.16556715084628645
302,318085,44166,15,0.138849678545043
303,1325089,28385,16,0.02142120265129361
304,2005552,115296,17,0.05748841216782213
305,2771305,605013,18,0.2183133938703968
307,290176,6553,20,0.02258284627260697
312,5004991,550660,6,0.1100221758640525
313,3701987,389011,7,0.1050816764078318
314,2245116,224474,8,0.09998325253572644
315,1902068,19321,9,0.010157891305673614
316,832536,22492,10,0.027016249147184025
317,2926030,153297,11,0.05239078204939799
319,903101,7523,13,0.008330186767592994
401,791896,15111,15,0.019082051178437573
402,1325510,24222,16,0.01827372105830963
404,3444578,1064197,18,0.3089484401282247
405,2233351,200744,19,0.08988466210640424
406,590966,18985,20,0.03212536761844167
412,2947437,154776,7,0.052512063871085285
413,641278,9197,8,0.014341673969791573
414,1993789,28765,9,0.01442730399254886
415,3015984,238157,10,0.07896494145857538
419,1149646,40158,14,0.03493075259688635
501,1909511,427804,16,0.22403851038302477
502,2944806,202393,17,0.06872880590436178
503,1521341,24098,18,0.015839972760873466
504,2683516,886738,19,0.33043887198734795
505,681187,51048,20,0.07493977424701294
512,1956792,127070,8,0.06493791879770563
513,1836372,158863,9,0.08650916045332863
515,1229255,11852,11,0.009641612196004897
517,1566193,25981,13,0.016588632435466127
518,931716,13383,14,0.014363819017812295
601,2178914,990372,17,0.4545255113327098
602,749587,95185,18,0.12698325878116884
603,533242,1067,19,0.0020009676657127533
605,651189,23301,21,0.03578223833633554
612,2017315,17010,9,0.008431999960343328
614,1625851,75588,11,0.046491345147864106
616,1103586,38351,13,0.034751256358815714
617,4049236,69563,14,0.017179290117938298
618,1130292,67901,15,0.06007385702101758
701,619636,11188,18,0.018055761769813244
702,155911,9836,19,0.06308727414999583
703,3100919,679442,20,0.21910988323139044
704,4061929,1078960,21,0.26562748881135045
712,488717,2141,10,0.0043808584518238575
713,1763528,385762,11,0.21874447130978358
715,1476534,13340,13,0.009034671738002646
716,1997770,61250,14,0.03065918499126526
717,2110482,29117,15,0.01379637447748903
801,688862,11875,19,0.01723857608635692
802,377747,593,20,0.0015698337776342366
803,2117027,823636,21,0.38905313914276957
812,1008194,22050,11,0.021870790740670942
814,1400100,12786,13,0.00913220484251125
815,810646,16974,14,0.020938856171497794
816,1709537,74249,15,0.04343222755635005
901,3291718,531309,20,0.1614078119693121
913,1072763,53907,13,0.05025061453461762
914,2106681,88645,14,0.04207803649437195
915,1284442,48632,15,0.03786235579341068
916,1638264,87823,16,0.05360735510271849
