new_area_code,original_area_code,original,city,state_or_province,NAME,STATE,COUNTY
360,206,FALSE,Bellingham,Washington,Whatcom,53,073
360,206,FALSE,Bellingham,Washington,Whatcom,53,073
701,701,TRUE,Minot,North Dakota,Ward,38,101
360,206,FALSE,Bellingham,Washington,Whatcom,53,073
360,206,FALSE,Mount Vernon,Washington,Skagit,53,057
218,218,TRUE,Duluth,Minnesota,St. Louis,27,137
360,206,FALSE,Mount Vernon,Washington,Skagit,53,057
360,206,FALSE,Mount Vernon,Washington,Skagit,53,057
360,206,FALSE,Mount Vernon,Washington,Skagit,53,057
509,206,FALSE,Wenatchee,Washington,Chelan,53,007
218,218,TRUE,Bemidji,Minnesota,Beltrami,27,007
360,206,FALSE,Marysville,Washington,Snohomish,53,061
425,206,FALSE,Edmonds,Washington,Snohomish,53,061
425,206,FALSE,Everett,Washington,Snohomish,53,061
425,206,FALSE,Lynnwood,Washington,Snohomish,53,061
425,206,FALSE,Mountlake Terrace,Washington,Snohomish,53,061
425,206,FALSE,North Creek,Washington,Snohomish,53,061
701,701,TRUE,Grand Forks,North Dakota,Grand Forks,38,035
425,206,FALSE,Fairwood,Washington,Spokane,53,063
509,206,FALSE,Opportunity,Washington,Spokane,53,063
509,206,FALSE,Spokane,Washington,Spokane,53,063
360,206,FALSE,Marysville,Washington,Snohomish,53,061
425,206,FALSE,Edmonds,Washington,Snohomish,53,061
425,206,FALSE,Everett,Washington,Snohomish,53,061
425,206,FALSE,Lynnwood,Washington,Snohomish,53,061
425,206,FALSE,Mountlake Terrace,Washington,Snohomish,53,061
425,206,FALSE,North Creek,Washington,Snohomish,53,061
208,208,TRUE,Coeur d'Alene,Idaho,Kootenai,16,055
406,406,TRUE,Helena,Montana,Lewis and Clark,30,049
206,206,TRUE,Bainbridge Island,Washington,Kitsap,53,035
360,206,FALSE,Bremerton,Washington,Kitsap,53,035
218,218,TRUE,Grand Rapids,Minnesota,Itasca,27,061
206,206,TRUE,Burien,Washington,King,53,033
206,206,TRUE,Des Moines,Washington,King,53,033
206,206,TRUE,Mercer Island,Washington,King,53,033
206,206,TRUE,Seattle,Washington,King,53,033
206,206,TRUE,Shoreline,Washington,King,53,033
206,206,TRUE,White Center,Washington,King,53,033
253,206,FALSE,Auburn,Washington,King,53,033
253,206,FALSE,East Hill-Meridian,Washington,King,53,033
253,206,FALSE,Federal Way,Washington,King,53,033
425,206,FALSE,Bellevue,Washington,King,53,033
425,206,FALSE,Bothell,Washington,King,53,033
425,206,FALSE,Cottage Lake,Washington,King,53,033
425,206,FALSE,Inglewood-Finn Hill,Washington,King,53,033
425,206,FALSE,Kirkland,Washington,King,53,033
425,206,FALSE,Redmond,Washington,King,53,033
425,206,FALSE,Renton,Washington,King,53,033
425,206,FALSE,City of Sammamish,Washington,King,53,033
406,406,TRUE,Great Falls,Montana,Cascade,30,013
406,406,TRUE,Missoula,Montana,Missoula,30,063
206,206,TRUE,Burien,Washington,King,53,033
206,206,TRUE,Des Moines,Washington,King,53,033
206,206,TRUE,Mercer Island,Washington,King,53,033
206,206,TRUE,Seattle,Washington,King,53,033
206,206,TRUE,Shoreline,Washington,King,53,033
206,206,TRUE,White Center,Washington,King,53,033
253,206,FALSE,Auburn,Washington,King,53,033
