original_area_code,original,city,current_state,current_county,current_state_fip,current_county_fip,old_county_fips,state,old_county,population_1950,residence_telephones_1945,population_under5_1950,population_over65_1950,births,black_pop,dial_pulls
206,FALSE,Bellingham,Washington,Whatcom,53,73,NA,NA,NA,66733,10994,7053,7468,1298,1068,18
206,FALSE,Bellingham,Washington,Whatcom,53,73,NA,NA,NA,66733,10994,7053,7468,1298,1068,18
701,TRUE,Minot,North Dakota,Ward,38,101,NA,NA,NA,34782,4651,4097,2844,1494,209,18
206,FALSE,Bellingham,Washington,Whatcom,53,73,NA,NA,NA,66733,10994,7053,7468,1298,1068,18
206,FALSE,Mount Vernon,Washington,Skagit,53,57,NA,NA,NA,43273,6201,4271,4977,1034,519,18
218,TRUE,Duluth,Minnesota,St. Louis,27,137,NA,NA,NA,206062,33643,21487,20272,5426,1442,11
206,FALSE,Mount Vernon,Washington,Skagit,53,57,NA,NA,NA,43273,6201,4271,4977,1034,519,18
206,FALSE,Mount Vernon,Washington,Skagit,53,57,NA,NA,NA,43273,6201,4271,4977,1034,519,18
206,FALSE,Mount Vernon,Washington,Skagit,53,57,NA,NA,NA,43273,6201,4271,4977,1034,519,18
206,FALSE,Wenatchee,Washington,Chelan,53,7,NA,NA,NA,39301,5715,4412,3265,858,118,18
218,TRUE,Bemidji,Minnesota,Beltrami,27,7,NA,NA,NA,24962,3009,3093,2239,616,2696,11
206,FALSE,Marysville,Washington,Snohomish,53,61,NA,NA,NA,111580,13120,12243,11606,3992,781,18
206,FALSE,Edmonds,Washington,Snohomish,53,61,NA,NA,NA,111580,13120,12243,11606,3992,781,18
206,FALSE,Everett,Washington,Snohomish,53,61,NA,NA,NA,111580,13120,12243,11606,3992,781,18
206,FALSE,Lynnwood,Washington,Snohomish,53,61,NA,NA,NA,111580,13120,12243,11606,3992,781,18
206,FALSE,Mountlake Terrace,Washington,Snohomish,53,61,NA,NA,NA,111580,13120,12243,11606,3992,781,18
206,FALSE,North Creek,Washington,Snohomish,53,61,NA,NA,NA,111580,13120,12243,11606,3992,781,18
701,TRUE,Grand Forks,North Dakota,Grand Forks,38,35,NA,NA,NA,39443,4966,4719,2877,1592,118,18
206,FALSE,Fairwood,Washington,Spokane,53,63,NA,NA,NA,221561,31412,23704,23228,6600,3102,18
206,FALSE,Opportunity,Washington,Spokane,53,63,NA,NA,NA,221561,31412,23704,23228,6600,3102,18
206,FALSE,Spokane,Washington,Spokane,53,63,NA,NA,NA,221561,31412,23704,23228,6600,3102,18
206,FALSE,Marysville,Washington,Snohomish,53,61,NA,NA,NA,111580,13120,12243,11606,3992,781,18
206,FALSE,Edmonds,Washington,Snohomish,53,61,NA,NA,NA,111580,13120,12243,11606,3992,781,18
206,FALSE,Everett,Washington,Snohomish,53,61,NA,NA,NA,111580,13120,12243,11606,3992,781,18
206,FALSE,Lynnwood,Washington,Snohomish,53,61,NA,NA,NA,111580,13120,12243,11606,3992,781,18
206,FALSE,Mountlake Terrace,Washington,Snohomish,53,61,NA,NA,NA,111580,13120,12243,11606,3992,781,18
206,FALSE,North Creek,Washington,Snohomish,53,61,NA,NA,NA,111580,13120,12243,11606,3992,781,18
208,TRUE,Coeur d'Alene,Idaho,Kootenai,16,55,NA,NA,NA,24947,2179,2647,2633,554,150,20
406,TRUE,Helena,Montana,Lewis and Clark,30,49,NA,NA,NA,24540,3809,2565,2225,754,466,20
206,TRUE,Bainbridge Island,Washington,Kitsap,53,35,NA,NA,NA,75724,8922,8452,5504,1756,2196,18
206,FALSE,Bremerton,Washington,Kitsap,53,35,NA,NA,NA,75724,8922,8452,5504,1756,2196,18
218,TRUE,Grand Rapids,Minnesota,Itasca,27,61,NA,NA,NA,33321,3503,3933,2609,894,533,11
206,TRUE,Burien,Washington,King,53,33,NA,NA,NA,732992,120948,79082,66726,21468,30786,18
206,TRUE,Des Moines,Washington,King,53,33,NA,NA,NA,732992,120948,79082,66726,21468,30786,18
206,TRUE,Mercer Island,Washington,King,53,33,NA,NA,NA,732992,120948,79082,66726,21468,30786,18
206,TRUE,Seattle,Washington,King,53,33,NA,NA,NA,732992,120948,79082,66726,21468,30786,18
206,TRUE,Shoreline,Washington,King,53,33,NA,NA,NA,732992,120948,79082,66726,21468,30786,18
206,TRUE,White Center,Washington,King,53,33,NA,NA,NA,732992,120948,79082,66726,21468,30786,18
206,FALSE,Auburn,Washington,King,53,33,NA,NA,NA,732992,120948,79082,66726,21468,30786,18
206,FALSE,East Hill-Meridian,Washington,King,53,33,NA,NA,NA,732992,120948,79082,66726,21468,30786,18
