new_area_code,original_area_code,original,city,current_state,current_county,current_state_fip,current_county_fip,old_county_fips,state,county,population_1950,residence_telephones_1945,population_under5_1950,population_over65_1950,births,black_pop,dial_pulls
360,206,FALSE,Bellingham,Washington,whatcom,53,73,NA,NA,NA,66733,10994,7053,7468,1298,1068,18
701,701,TRUE,Minot,North Dakota,ward,38,101,NA,NA,NA,34782,4651,4097,2844,1494,209,18
360,206,FALSE,Mount Vernon,Washington,skagit,53,57,NA,NA,NA,43273,6201,4271,4977,1034,519,18
218,218,TRUE,Duluth,Minnesota,st. louis,27,137,NA,NA,NA,206062,33643,21487,20272,5426,1442,11
509,206,FALSE,Wenatchee,Washington,chelan,53,7,NA,NA,NA,39301,5715,4412,3265,858,118,18
360,206,FALSE,Marysville,Washington,snohomish,53,61,NA,NA,NA,111580,13120,12243,11606,3992,781,18
425,206,FALSE,Edmonds,Washington,snohomish,53,61,NA,NA,NA,111580,13120,12243,11606,3992,781,18
425,206,FALSE,Everett,Washington,snohomish,53,61,NA,NA,NA,111580,13120,12243,11606,3992,781,18
425,206,FALSE,Lynnwood,Washington,snohomish,53,61,NA,NA,NA,111580,13120,12243,11606,3992,781,18
425,206,FALSE,Mountlake Terrace,Washington,snohomish,53,61,NA,NA,NA,111580,13120,12243,11606,3992,781,18
425,206,FALSE,North Creek,Washington,snohomish,53,61,NA,NA,NA,111580,13120,12243,11606,3992,781,18
701,701,TRUE,Grand Forks,North Dakota,grand forks,38,35,NA,NA,NA,39443,4966,4719,2877,1592,118,18
425,206,FALSE,Fairwood,Washington,spokane,53,63,NA,NA,NA,221561,31412,23704,23228,6600,3102,18
509,206,FALSE,Opportunity,Washington,spokane,53,63,NA,NA,NA,221561,31412,23704,23228,6600,3102,18
509,206,FALSE,Spokane,Washington,spokane,53,63,NA,NA,NA,221561,31412,23704,23228,6600,3102,18
208,208,TRUE,Coeur d'Alene,Idaho,kootenai,16,55,NA,NA,NA,24947,2179,2647,2633,554,150,20
406,406,TRUE,Helena,Montana,lewis and clark,30,49,NA,NA,NA,24540,3809,2565,2225,754,466,20
206,206,TRUE,Bainbridge Island,Washington,kitsap,53,35,NA,NA,NA,75724,8922,8452,5504,1756,2196,18
360,206,FALSE,Bremerton,Washington,kitsap,53,35,NA,NA,NA,75724,8922,8452,5504,1756,2196,18
206,206,TRUE,Burien,Washington,king,53,33,NA,NA,NA,732992,120948,79082,66726,21468,30786,18
206,206,TRUE,Des Moines,Washington,king,53,33,NA,NA,NA,732992,120948,79082,66726,21468,30786,18
206,206,TRUE,Mercer Island,Washington,king,53,33,NA,NA,NA,732992,120948,79082,66726,21468,30786,18
206,206,TRUE,Seattle,Washington,king,53,33,NA,NA,NA,732992,120948,79082,66726,21468,30786,18
206,206,TRUE,Shoreline,Washington,king,53,33,NA,NA,NA,732992,120948,79082,66726,21468,30786,18
206,206,TRUE,White Center,Washington,king,53,33,NA,NA,NA,732992,120948,79082,66726,21468,30786,18
253,206,FALSE,Auburn,Washington,king,53,33,NA,NA,NA,732992,120948,79082,66726,21468,30786,18
253,206,FALSE,East Hill-Meridian,Washington,king,53,33,NA,NA,NA,732992,120948,79082,66726,21468,30786,18
253,206,FALSE,Federal Way,Washington,king,53,33,NA,NA,NA,732992,120948,79082,66726,21468,30786,18
425,206,FALSE,Bellevue,Washington,king,53,33,NA,NA,NA,732992,120948,79082,66726,21468,30786,18
425,206,FALSE,Bothell,Washington,king,53,33,NA,NA,NA,732992,120948,79082,66726,21468,30786,18
425,206,FALSE,Cottage Lake,Washington,king,53,33,NA,NA,NA,732992,120948,79082,66726,21468,30786,18
425,206,FALSE,Inglewood-Finn Hill,Washington,king,53,33,NA,NA,NA,732992,120948,79082,66726,21468,30786,18
425,206,FALSE,Kirkland,Washington,king,53,33,NA,NA,NA,732992,120948,79082,66726,21468,30786,18
425,206,FALSE,Redmond,Washington,king,53,33,NA,NA,NA,732992,120948,79082,66726,21468,30786,18
425,206,FALSE,Renton,Washington,king,53,33,NA,NA,NA,732992,120948,79082,66726,21468,30786,18
425,206,FALSE,City of Sammamish,Washington,king,53,33,NA,NA,NA,732992,120948,79082,66726,21468,30786,18
406,406,TRUE,Great Falls,Montana,cascade,30,13,NA,NA,NA,53027,6458,6342,4210,2320,795,20
406,406,TRUE,Missoula,Montana,missoula,30,63,NA,NA,NA,35493,4570,3934,2993,1140,319,20
253,206,FALSE,Lakewood,Washington,pierce,53,53,NA,NA,NA,275876,31912,28813,23541,8030,8552,18
253,206,FALSE,Parkland,Washington,pierce,53,53,NA,NA,NA,275876,31912,28813,23541,8030,8552,18
253,206,FALSE,Puyallup,Washington,pierce,53,53,NA,NA,NA,275876,31912,28813,23541,8030,8552,18
253,206,FALSE,South Hill,Washington,pierce,53,53,NA,NA,NA,275876,31912,28813,23541,8030,8552,18
253,206,FALSE,Spanaway,Washington,pierce,53,53,NA,NA,NA,275876,31912,28813,23541,8030,8552,18
253,206,FALSE,Tacoma,Washington,pierce,53,53,NA,NA,NA,275876,31912,28813,23541,8030,8552,18
253,206,FALSE,University Place,Washington,pierce,53,53,NA,NA,NA,275876,31912,28813,23541,8030,8552,18
701,701,TRUE,Bismarck,North Dakota,burleigh,38,15,NA,NA,NA,25673,2816,3199,1645,948,180,18
509,206,FALSE,Pullman,Washington,whitman,53,75,NA,NA,NA,32469,5231,3335,2490,718,130,18
701,701,TRUE,West Fargo,North Dakota,cass,38,17,NA,NA,NA,58877,7415,6739,4444,1834,118,18
360,206,FALSE,Lacey,Washington,thurston,53,67,NA,NA,NA,44884,5961,5130,4191,1244,314,18
360,206,FALSE,Olympia,Washington,thurston,53,67,NA,NA,NA,44884,5961,5130,4191,1244,314,18
218,218,TRUE,Moorhead,Minnesota,clay,27,27,NA,NA,NA,30363,3047,3534,2077,1124,30,11
208,208,TRUE,Moscow,Idaho,latah,16,57,NA,NA,NA,20971,3179,2285,1540,516,63,20
509,206,FALSE,Yakima,Washington,yakima,53,77,NA,NA,NA,135723,10875,16703,10388,3238,4886,18
715,715,TRUE,Superior,Wisconsin,douglas,55,31,NA,NA,NA,46715,7308,4706,4634,956,234,13
509,206,FALSE,Pasco,Washington,franklin,53,21,NA,NA,NA,13563,802,1810,691,532,1085,18
509,206,FALSE,Kennewick,Washington,benton,53,5,NA,NA,NA,51370,1224,6964,1712,1526,308,18
509,206,FALSE,West Richland,Washington,benton,53,5,NA,NA,NA,51370,1224,6964,1712,1526,308,18
