new_area_code,original_area_code,original,city,state_or_province,county,state_code,county_code
201,201,TRUE,Bayonne,New Jersey,Hudson,34,017
201,201,TRUE,Bergenfield,New Jersey,Bergen,34,003
201,201,TRUE,Cliffside Park,New Jersey,Bergen,34,003
201,201,TRUE,Englewood,New Jersey,Bergen,34,003
201,201,TRUE,Fair Lawn,New Jersey,Bergen,34,003
201,201,TRUE,Fort Lee,New Jersey,Bergen,34,003
201,201,TRUE,Hackensack,New Jersey,Bergen,34,003
201,201,TRUE,Hoboken,New Jersey,Hudson,34,017
201,201,TRUE,Jersey City,New Jersey,Hudson,34,017
201,201,TRUE,Kearny,New Jersey,Hudson,34,017
201,201,TRUE,North Bergen,New Jersey,Hudson,34,017
201,201,TRUE,Paramus,New Jersey,Bergen,34,003
201,201,TRUE,Ridgewood,New Jersey,Bergen,34,003
201,201,TRUE,Teaneck,New Jersey,Bergen,34,003
201,201,TRUE,Union City,New Jersey,Hudson,34,017
201,201,TRUE,West New York,New Jersey,Hudson,34,017
202,202,TRUE,Washington,District of Columbia,District of Columbia,11,001
203,203,TRUE,Bridgeport,Connecticut,Fairfield,09,001
203,203,TRUE,Danbury,Connecticut,Fairfield,09,001
203,203,TRUE,East Haven,Connecticut,New Haven,09,009
203,203,TRUE,Meriden,Connecticut,New Haven,09,009
203,203,TRUE,Milford,Connecticut,New Haven,09,009
203,203,TRUE,Naugatuck,Connecticut,New Haven,09,009
203,203,TRUE,New Haven,Connecticut,New Haven,09,009
203,203,TRUE,North Haven,Connecticut,New Haven,09,009
203,203,TRUE,Norwalk,Connecticut,Fairfield,09,001
203,203,TRUE,Shelton,Connecticut,Fairfield,09,001
203,203,TRUE,Stamford,Connecticut,Fairfield,09,001
203,203,TRUE,Stratford,Connecticut,Fairfield,09,001
203,203,TRUE,Trumbull,Connecticut,Fairfield,09,001
203,203,TRUE,Waterbury,Connecticut,New Haven,09,009
203,203,TRUE,West Haven,Connecticut,New Haven,09,009
203,203,TRUE,Westport,Connecticut,Fairfield,09,001
205,205,TRUE,Alabaster,Alabama,Shelby,01,117
205,205,TRUE,Bessemer,Alabama,Jefferson,01,073
205,205,TRUE,Birmingham,Alabama,Jefferson,01,073
205,205,TRUE,Center Point,Alabama,Jefferson,01,073
205,205,TRUE,Homewood,Alabama,Jefferson,01,073
205,205,TRUE,Hoover,Alabama,Jefferson,01,073
205,205,TRUE,Mountain Brook,Alabama,Jefferson,01,073
205,205,TRUE,Tuscaloosa,Alabama,Tuscaloosa,01,125
205,205,TRUE,Vestavia Hills,Alabama,Jefferson,01,073
206,206,TRUE,Bainbridge Island,Washington,Kitsap,53,035
206,206,TRUE,Burien,Washington,King,53,033
206,206,TRUE,Des Moines,Washington,King,53,033
206,206,TRUE,Mercer Island,Washington,King,53,033
206,206,TRUE,Seattle,Washington,King,53,033
206,206,TRUE,Shoreline,Washington,King,53,033
206,206,TRUE,White Center,Washington,King,53,033
207,207,TRUE,Auburn,Maine,Androscoggin,23,001
207,207,TRUE,Augusta,Maine,Kennebec,23,011
207,207,TRUE,Bangor,Maine,Penobscot,23,019
207,207,TRUE,Biddeford,Maine,York,23,031
207,207,TRUE,Brunswick,Maine,Cumberland,23,005
207,207,TRUE,Lewiston,Maine,Androscoggin,23,001
207,207,TRUE,South Portland,Maine,Cumberland,23,005
208,208,TRUE,Boise,Idaho,Ada,16,001
208,208,TRUE,Caldwell,Idaho,Canyon,16,027
208,208,TRUE,Coeur d'Alene,Idaho,Kootenai,16,055
208,208,TRUE,Idaho Falls,Idaho,Bonneville,16,019
208,208,TRUE,Lewiston,Idaho,Nez Perce,16,069
208,208,TRUE,Meridian,Idaho,Ada,16,001
208,208,TRUE,Moscow,Idaho,Latah,16,057
208,208,TRUE,Nampa,Idaho,Canyon,16,027
208,208,TRUE,Pocatello,Idaho,Bannock,16,005
208,208,TRUE,Twin Falls,Idaho,Twin Falls,16,083
209,916,FALSE,Atwater,California,Merced,06,047
209,916,FALSE,Ceres,California,Stanislaus,06,099
209,916,FALSE,Lodi,California,San Joaquin,06,077
209,916,FALSE,Los Banos,California,Merced,06,047
209,916,FALSE,Manteca,California,San Joaquin,06,077
209,916,FALSE,Merced,California,Merced,06,047
209,916,FALSE,West Modesto,California,Stanislaus,06,099
209,916,FALSE,Stockton,California,San Joaquin,06,077
209,916,FALSE,Tracy,California,San Joaquin,06,077
209,916,FALSE,Turlock,California,Stanislaus,06,099
210,512,FALSE,San Antonio,Texas,Bexar,48,029
212,212,TRUE,New York City,New York,New York,36,061
213,213,TRUE,Los Angeles,California,Los Angeles,06,037
214,214,TRUE,Allen,Texas,Collin,48,085
214,214,TRUE,Arlington,Texas,Tarrant,48,439
214,214,TRUE,Carrollton,Texas,Dallas,48,113
214,214,TRUE,Cedar Hill,Texas,Dallas,48,113
214,214,TRUE,Coppell,Texas,Dallas,48,113
214,214,TRUE,Dallas,Texas,Dallas,48,113
214,214,TRUE,DeSoto,Texas,Dallas,48,113
214,214,TRUE,Duncanville,Texas,Dallas,48,113
214,214,TRUE,Farmers Branch,Texas,Dallas,48,113
214,214,TRUE,Flower Mound,Texas,Denton,48,121
214,214,TRUE,Frisco,Texas,Collin,48,085
214,214,TRUE,Garland,Texas,Dallas,48,113
214,214,TRUE,Grand Prairie,Texas,Dallas,48,113
214,214,TRUE,Irving,Texas,Dallas,48,113
214,214,TRUE,Lancaster,Texas,Dallas,48,113
214,214,TRUE,Lewisville,Texas,Denton,48,121
214,214,TRUE,McKinney,Texas,Collin,48,085
214,214,TRUE,Mesquite,Texas,Dallas,48,113
214,214,TRUE,Plano,Texas,Collin,48,085
214,214,TRUE,Richardson,Texas,Dallas,48,113
214,214,TRUE,Rowlett,Texas,Dallas,48,113
214,214,TRUE,The Colony,Texas,Denton,48,121
214,214,TRUE,University Park,Texas,Dallas,48,113
214,214,TRUE,Waxahachie,Texas,Ellis,48,139
215,215,TRUE,Levittown,Pennsylvania,Bucks,42,017
215,215,TRUE,Philadelphia,Pennsylvania,Philadelphia,42,101
216,216,TRUE,Brook Park,Ohio,Cuyahoga,39,035
216,216,TRUE,East Cleveland,Ohio,Cuyahoga,39,035
216,216,TRUE,Cleveland Heights,Ohio,Cuyahoga,39,035
216,216,TRUE,South Euclid,Ohio,Cuyahoga,39,035
216,216,TRUE,Garfield Heights,Ohio,Cuyahoga,39,035
216,216,TRUE,Lakewood,Ohio,Cuyahoga,39,035
216,216,TRUE,Maple Heights,Ohio,Cuyahoga,39,035
216,216,TRUE,Parma,Ohio,Cuyahoga,39,035
216,216,TRUE,Shaker Heights,Ohio,Cuyahoga,39,035
217,217,TRUE,Champaign,Illinois,Champaign,17,019
217,217,TRUE,Charleston,Illinois,Coles,17,029
217,217,TRUE,Danville,Illinois,Vermilion,17,183
217,217,TRUE,Decatur,Illinois,Macon,17,115
217,217,TRUE,Quincy,Illinois,Adams,17,001
217,217,TRUE,Springfield,Illinois,Sangamon,17,167
217,217,TRUE,Urbana,Illinois,Champaign,17,019
218,218,TRUE,Duluth,Minnesota,St. Louis,27,137
218,218,TRUE,Moorhead,Minnesota,Clay,27,027
219,317,FALSE,East Chicago,Indiana,Lake,18,089
219,317,FALSE,Gary,Indiana,Lake,18,089
219,317,FALSE,Hammond,Indiana,Lake,18,089
219,317,FALSE,Highland,Indiana,Lake,18,089
219,317,FALSE,Hobart,Indiana,Lake,18,089
219,317,FALSE,LaPorte,Indiana,LaPorte,18,091
219,317,FALSE,Merrillville,Indiana,Lake,18,089
219,317,FALSE,Michigan City,Indiana,LaPorte,18,091
219,317,FALSE,Munster,Indiana,Lake,18,089
219,317,FALSE,Portage,Indiana,Porter,18,127
219,317,FALSE,Schererville,Indiana,Lake,18,089
219,317,FALSE,Valparaiso,Indiana,Porter,18,127
220,614,FALSE,Athens,Ohio,Athens,39,009
220,614,FALSE,Chillicothe,Ohio,Ross,39,141
220,614,FALSE,Delaware,Ohio,Delaware,39,041
220,614,FALSE,Lancaster,Ohio,Fairfield,39,045
220,614,FALSE,Marion,Ohio,Marion,39,101
220,614,FALSE,Newark,Ohio,Licking,39,089
220,614,FALSE,Portsmouth,Ohio,Scioto,39,145
220,614,FALSE,Zanesville,Ohio,Muskingum,39,119
224,312,FALSE,Arlington Heights,Illinois,Cook,17,031
224,312,FALSE,Buffalo Grove,Illinois,Cook,17,031
224,312,FALSE,Carpentersville,Illinois,Kane,17,089
224,312,FALSE,Des Plaines,Illinois,Cook,17,031
224,312,FALSE,South Elgin,Illinois,Kane,17,089
224,312,FALSE,Elk Grove Village,Illinois,Cook,17,031
224,312,FALSE,Evanston,Illinois,Cook,17,031
224,312,FALSE,Glenview,Illinois,Cook,17,031
224,312,FALSE,Gurnee,Illinois,Lake,17,097
224,312,FALSE,Highland Park,Illinois,Lake,17,097
224,312,FALSE,Hoffman Estates,Illinois,Cook,17,031
224,312,FALSE,Lake Forest,Illinois,Lake,17,097
224,312,FALSE,Libertyville,Illinois,Lake,17,097
224,312,FALSE,Morton Grove,Illinois,Cook,17,031
224,312,FALSE,Mount Prospect,Illinois,Cook,17,031
224,312,FALSE,Mundelein,Illinois,Lake,17,097
224,312,FALSE,Niles,Illinois,Cook,17,031
